Radio Hex Data Log - COM7 @ 115200 baud
Started: 2026-01-05 17:12:02
[2026-01-05 17:20:29.439] 81110017e0882b00088100000000001680009fc8b13c1e91
[2026-01-05 17:20:30.886] 8111000ee088490016810000000008270680ccc8b1bc3784
[2026-01-05 17:20:31.661] 81110013e088490017810000000008270680cdc8b1bc2877
[2026-01-05 17:20:31.829] 81110017e0884900048100000000001680009bc8b1755f03
[2026-01-05 17:20:32.366] 81110017e0884900148140c0000020270780e3c8b1bc2aa5
[2026-01-05 17:20:33.154] 81110016e0884900108141af33330017821010c8af2b5fa1
[2026-01-05 17:20:41.207] 81110017e0882b000e
[2026-01-05 17:20:41.228] 810000000008178600b4c8b15c5f1c
[2026-01-05 17:20:51.944] 8111000fe0882b000281000000000015800098c8b14c55ca
[2026-01-05 17:20:53.984] 81110011e0882b000b8100000000002300002fe088355fda
[2026-01-05 17:20:55.946] 81110014e08849000181000000000020010023c8aeba4339
[2026-01-05 17:21:02.740] 8111001ce0882b00098100000000002112205de088335f34
[2026-01-05 17:21:04.304] 81110014e0884900058100000000002403002de088294bb6
[2026-01-05 17:21:09.241] 8111000ce0882b000f81000000000824060042e087e92d81
[2026-01-05 17:21:15.859] 81110017e08849000c8100000000100b8600aec8b21752bf
[2026-01-05 17:21:19.442] 81110000e0882b0007813f80000000230300edc8ae905fbf
[2026-01-05 17:21:23.546] 81110017e0882b000d8100000000082306003fc8afc0396e
[2026-01-05 17:21:27.606] 81110015e0882b0006810000000010178600b4c8b1795731
[2026-01-05 17:21:28.332] 81110010e08849000a8100000000000b800096e085f84d56
[2026-01-05 17:21:29.193] 8111000fe0882b00088100000000001680009fc8b13c1487
[2026-01-05 17:21:29.876] 81110015e088490016810000000008270680ccc8b1bc2a77
[2026-01-05 17:21:30.611] 81110016e088490017810000000008270680cdc8b1bc3281
[2026-01-05 17:21:31.283] 8111000ae0884900148140c0000020270780e3c8b1bc1994
[2026-01-05 17:21:31.798] 81110010e0884900048100000000001680009bc8b1755f03
[2026-01-05 17:21:32.849] 81110018
[2026-01-05 17:21:32.870] e0884900108141af33330017821010c8af2b4183
[2026-01-05 17:21:41.275] 81110015e0882b000e810000000008178600b4c8b15c5f1c
[2026-01-05 17:21:49.557] 81110016e0
[2026-01-05 17:21:49.568] 882b000b8100000000002300002fe088355fda
[2026-01-05 17:21:53.040] 81110015e0882b000281000000000015800098c8b1
[2026-01-05 17:21:53.061] 4c5acf
[2026-01-05 17:21:54.227] 8111000ae08849000181000000000021010024c8aeba3e36
[2026-01-05 17:21:56.829] 81110017e088490005813f80000000240300ece08829432c
[2026-01-05 17:21:57.627] 8111001be0882b00098100000000002112205de088335f34
[2026-01-05 17:22:04.040] 81110013e0882b00
[2026-01-05 17:22:04.051] 0f81000000000824060042e087e93488
[2026-01-05 17:22:13.358] 8111000fe0882b00078140000000002303006ec8ae905fc1
[2026-01-05 17:22:15.918] 81110010e08849000c8100000000100b8600aec8b21757c4
[2026-01-05 17:22:18.856] 81110013e0882b000d8100
[2026-01-05 17:22:18.867] 000000082306003fc8afc0396e
[2026-01-05 17:22:27.754] 81110011e0882b0006810000000010178600b4c8b1795a34
[2026-01-05 17:22:28.269] 81110017e08849000a8100000000000b800096e085f85f68
[2026-01-05 17:22:29.436] 81110017e088490016810000000008270680ccc8b1bc3784
[2026-01-05 17:22:30.077] 81110015e088490017810000000008270680cdc8b1bc2d7c
[2026-01-05 17:22:31.064] 81110016e0884900148140c0000020270780e3c8b1bc32ad
[2026-01-05 17:22:31.800] 8111000ce0884900048100000000001680009bc8b1755f03
[2026-01-05 17:22:32.861] 8111000be0884900108141af33330017821010c8af2b5fa1
[2026-01-05 17:22:41.588] 81110015e0882b000e810000000008178600b4c8b15c5f1c
[2026-01-05 17:22:44.427] 81110010e0882b000b8100000000002300002fe088355fda
[2026-01-05 17:22:50.330] 81110013e0882b00098100000000002012205ce088335f32
[2026-01-05 17:22:52.705] 81110014e0884900058100000000002403002de088294bb6
[2026-01-05 17:22:53.303] 81110011e0882b000281000000000015800098c8b14c5fd4
[2026-01-05 17:22:53.798] 81110011e08849000181000000000020010023c8aeba4339
[2026-01-05 17:22:58.207] 81110014e0882b000f81000000000824060042e087e92579
[2026-01-05 17:23:08.119] 81110015e0882b0007813f80000000230300edc8ae905fbf
[2026-01-05 17:23:14.675] 81110010e0882b000d8100000000082306003fc8afc03267
[2026-01-05 17:23:16.208] 81110018e08849000c8100000000100b8600aec8b21752bf
[2026-01-05 17:23:27.841] 8111000fe088490016810000000008270680ccc8b1bc2370
[2026-01-05 17:23:27.998] 81110017e0882b0006810000000010178600b4c8b1795a34
[2026-01-05 17:23:28.166] 81110013e08849000a8100000000000b800096e085f85760
[2026-01-05 17:23:28.671] 81110010e088490017810000000008270680cdc8b1bc3988
[2026-01-05 17:23:29.366] 8111001be0882b00
[2026-01-05 17:23:29.376] 088100000000001680009fc8b13c2396
[2026-01-05 17:23:29.534] 81110011e0884900148140c0000020270780e3c8b1bc2aa5
[2026-01-05 17:23:31.666] 81110010e08849000481000000000016
