"Register Address
(Hexadecimal)"	Register Address (Decimal)	"

Data Description"				"

R/W"	Length (In Bits)
167	359	Channel 7 Relay 1 On/Off				R/W	16
168	360	Channel 8 Relay 1 On/Off				R/W	16
169	361	Channel 9 Relay 1 On/Off				R/W	16
16A	362	Channel 10 Relay 1 On/Off				R/W	16
16B	363	Channel 11 Relay 1 On/Off				R/W	16
16C	364	Channel 12 Relay 1 On/Off				R/W	16
16D	365	Channel 13 Relay 1 On/Off				R/W	16
16E	366	Channel 14 Relay 1 On/Off				R/W	16
16F	367	Channel 15 Relay 1 On/Off				R/W	16
170	368	Channel 16 Relay 1 On/Off				R/W	16
171	369	Channel 17 Relay 1 On/Off				R/W	16
172	370	Channel 18 Relay 1 On/Off				R/W	16
173	371	Channel 19 Relay 1 On/Off				R/W	16
174	372	Channel 20 Relay 1 On/Off				R/W	16
175	373	Channel 21 Relay 1 On/Off				R/W	16
176	374	Channel 22 Relay 1 On/Off				R/W	16
177	375	Channel 23 Relay 1 On/Off				R/W	16
178	376	Channel 24 Relay 1 On/Off				R/W	16
179	377	Channel 25 Relay 1 On/Off				R/W	16
17A	378	Channel 26 Relay 1 On/Off				R/W	16
17B	379	Channel 27 Relay 1 On/Off				R/W	16
17C	380	Channel 28 Relay 1 On/Off				R/W	16
17D	381	Channel 29 Relay 1 On/Off				R/W	16
17E	382	Channel 30 Relay 1 On/Off				R/W	16
17F	383	Channel 31 Relay 1 On/Off				R/W	16
180	384	Channel 32 Relay 1 On/Off				R/W	16
181	385	Channel 1 Relay 1 Rise/Fall				R/W	16
182	386	Channel 2 Relay 1 Rise/Fall				R/W	16
183	387	Channel 3 Relay 1 Rise/Fall				R/W	16
184	388	Channel 4 Relay 1 Rise/Fall				R/W	16
185	389	Channel 5 Relay 1 Rise/Fall				R/W	16
186	390	Channel 6 Relay 1 Rise/Fall				R/W	16
187	391	Channel 7 Relay 1 Rise/Fall				R/W	16
188	392	Channel 8 Relay 1 Rise/Fall				R/W	16
189	393	Channel 9 Relay 1 Rise/Fall				R/W	16
18A	394	Channel 10 Relay 1 Rise/Fall				R/W	16
18B	395	Channel 11 Relay 1 Rise/Fall				R/W	16
18C	396	Channel 12 Relay 1 Rise/Fall				R/W	16
18D	397	Channel 13 Relay 1 Rise/Fall				R/W	16
18E	398	Channel 14 Relay 1 Rise/Fall				R/W	16
18F	399	Channel 15 Relay 1 Rise/Fall				R/W	16
190	400	Channel 16 Relay 1 Rise/Fall				R/W	16
191	401	Channel 17 Relay 1 Rise/Fall				R/W	16
192	402	Channel 18 Relay 1 Rise/Fall				R/W	16
193	403	Channel 19 Relay 1 Rise/Fall				R/W	16
194	404	Channel 20 Relay 1 Rise/Fall				R/W	16
195	405	Channel 21 Relay 1 Rise/Fall				R/W	16
196	406	Channel 22 Relay 1 Rise/Fall				R/W	16
197	407	Channel 23 Relay 1 Rise/Fall				R/W	16
198	408	Channel 24 Relay 1 Rise/Fall				R/W	16
199	409	Channel 25 Relay 1 Rise/Fall				R/W	16
19A	410	Channel 26 Relay 1 Rise/Fall				R/W	16
19B	411	Channel 27 Relay 1 Rise/Fall				R/W	16
19C	412	Channel 28 Relay 1 Rise/Fall				R/W	16
19D	413	Channel 29 Relay 1 Rise/Fall				R/W	16
19E	414	Channel 30 Relay 1 Rise/Fall				R/W	16
19F	415	Channel 31 Relay 1 Rise/Fall				R/W	16
1A0	416	Channel 32 Relay 1 Rise/Fall				R/W	16
1A1	417	Channel 1 Relay 1 Set Point				R/W	32
1A3	419	Channel 2 Relay 1 Set Point				R/W	32
1A5	421	Channel 3 Relay 1 Set Point				R/W	32
1A7	423	Channel 4 Relay 1 Set Point				R/W	32
1A9	425	Channel 5 Relay 1 Set Point				R/W	32
1AB	427	Channel 6 Relay 1 Set Point				R/W	32
1AD	429	Channel 7 Relay 1 Set Point				R/W	32
1AF	431	Channel 8 Relay 1 Set Point				R/W	32
1B1	433	Channel 9 Relay 1 Set Point				R/W	32
1B3	435	Channel 10 Relay 1 Set Point				R/W	32
1B5	437	Channel 11 Relay 1 Set Point				R/W	32
1B7	439	Channel 12 Relay 1 Set Point				R/W	32
1B9	441	Channel 13 Relay 1 Set Point				R/W	32
1BB	443	Channel 14 Relay 1 Set Point 				R/W	32
1BD	445	Channel 15 Relay 1 Set Point				R/W	32
1BF	447	Channel 16 Relay 1 Set Point				R/W	32
1C1	449	Channel 17 Relay 1 Set Point				R/W	32
1C3	451	Channel 18 Relay 1 Set Point				R/W	32
1C5	453	Channel 19 Relay 1 Set Point				R/W	32
1C7	455	Channel 20 Relay 1 Set Point				R/W	32
1C9	457	Channel 21 Relay 1 Set Point				R/W	32
1CB	459	Channel 22 Relay 1 Set Point				R/W	32
1CD	461	Channel 23 Relay 1 Set Point 				R/W	32
1CF	463	Channel 24 Relay 1 Set Point				R/W	32
1D1	465	Channel 25 Relay 1 Set Point				R/W	32
1D3	467	Channel 26 Relay 1 Set Point				R/W	32
1D5	469	Channel 27 Relay 1 Set Point				R/W	32
1D7	471	Channel 28 Relay 1 Set Point				R/W	32
1D9	473	Channel 29 Relay 1 Set Point				R/W	32
1DB	475	Channel 30 Relay 1 Set Point				R/W	32
1DD	477	Channel 31 Relay 1 Set Point				R/W	32
1DF	479	Channel 32 Relay 1 Set Point				R/W	32
1E1	481	Channel 1 Relay 1 Latch/Unlatch				R/W	16
1E2	482	Channel 2 Relay 1 Latch/Unlatch				R/W	16
1E3	483	Channel 3 Relay 1 Latch/Unlatch				R/W	16
1E4	484	Channel 4 Relay 1 Latch/Unlatch				R/W	16
1E5	485	Channel 5 Relay 1 Latch/Unlatch				R/W	16
1E6	486	Channel 6 Relay 1 Latch/Unlatch				R/W	16
1E7	487	Channel 7 Relay 1 Latch/Unlatch				R/W	16
1E8	488	Channel 8 Relay 1 Latch/Unlatch				R/W	16
1E9	489	Channel 9 Relay 1 Latch/Unlatch				R/W	16
1EA	490	Channel 10 Relay 1 Latch/Unlatch				R/W	16
1EB	491	Channel 11 Relay 1 Latch/Unlatch				R/W	16
1EC	492	Channel 12 Relay 1 Latch/Unlatch				R/W	16
1ED	493	Channel 13 Relay 1 Latch/Unlatch				R/W	16
1EE	494	Channel 14 Relay 1 Latch/Unlatch				R/W	16
1EF	495	Channel 15 Relay 1 Latch/Unlatch				R/W	16
1F0	496	Channel 16 Relay 1 Latch/Unlatch				R/W	16
1F1	497	Channel 17 Relay 1 Latch/Unlatch				R/W	16
1F2	498	Channel 18 Relay 1 Latch/Unlatch				R/W	16
1F3	499	Channel 19 Relay 1 Latch/Unlatch				R/W	16
1F4	500	Channel 20 Relay 1 Latch/Unlatch				R/W	16
1F5	501	Channel 21 Relay 1 Latch/Unlatch				R/W	16
1F6	502	Channel 22 Relay 1 Latch/Unlatch				R/W	16
1F7	503	Channel 23 Relay 1 Latch/Unlatch				R/W	16
1F8	504	Channel 24 Relay 1 Latch/Unlatch				R/W	16
1F9	505	Channel 25 Relay 1 Latch/Unlatch				R/W	16
1FA	506	Channel 26 Relay 1 Latch/Unlatch				R/W	16
1FB	507	Channel 27 Relay 1 Latch/Unlatch				R/W	16
1FC	508	Channel 28 Relay 1 Latch/Unlatch				R/W	16
1FD	509	Channel 29 Relay 1 Latch/Unlatch				R/W	16
1FE	510	Channel 30 Relay 1 Latch/Unlatch				R/W	16
1FF	511	Channel 31 Relay 1 Latch/Unlatch				R/W	16
200	512	Channel 32 Relay 1 Latch/Unlatch				R/W	16
201	513	Channel 1 Relay 2 On/Off				R/W	16
202	514	Channel 2 Relay 2 On/Off				R/W	16
203	515	Channel 3 Relay 2 On/Off				R/W	16
204	516	Channel 4 Relay 2 On/Off				R/W	16
205	517	Channel 5 Relay 2 On/Off				R/W	16
206	518	Channel 6 Relay 2 On/Off				R/W	16
207	519	Channel 7 Relay 2 On/Off				R/W	16
208	520	Channel 8 Relay 2 On/Off				R/W	16
209	521	Channel 9 Relay 2 On/Off				R/W	16
20A	522	Channel 10 Relay 2 On/Off				R/W	16
20B	523	Channel 11 Relay 2 On/Off				R/W	16
20C	524	Channel 12 Relay 2 On/Off				R/W	16
20D	525	Channel 13 Relay 2 On/Off				R/W	16
20E	526	Channel 14 Relay 2 On/Off				R/W	16
20F	527	Channel 15 Relay 2 On/Off				R/W	16
210	528	Channel 16 Relay 2 On/Off				R/W	16
211	529	Channel 17 Relay 2 On/Off				R/W	16
212	530	Channel 18 Relay 2 On/Off				R/W	16
213	531	Channel 19 Relay 2 On/Off				R/W	16
214	532	Channel 20 Relay 2 On/Off				R/W	16
215	533	Channel 21 Relay 2 On/Off				R/W	16
216	534	Channel 22 Relay 2 On/Off				R/W	16
217	535	Channel 23 Relay 2 On/Off				R/W	16
218	536	Channel 24 Relay 2 On/Off				R/W	16
219	537	Channel 25 Relay 2 On/Off				R/W	16
21A	538	Channel 26 Relay 2 On/Off				R/W	16
21B	539	Channel 27 Relay 2 On/Off				R/W	16
21C	540	Channel 28 Relay 2 On/Off				R/W	16
21D	541	Channel 29 Relay 2 On/Off				R/W	16
